class_name,class_tag,instructors,term,session,start_date,end_date,days,start_time,end_time,class_number,course_id,consent,enrolled,school,department,subject,location,units,course_component,grading_basis,cross_reg,exam/final_deadline,class_capacity,instruction_mode,curriculum_phase,visiting_clerks,required_course,distributional_electives,mds/mde_rec._elec.,up_project_based,up_concentration,up_methods,limited_enrollment,studio_option,academic_areas,waitlist,credit_type
"Black Art and the Refounding of America: Art, Race, and U.S. Law",AAAS 112,['Sarah Lewis'],2023 Fall,Full Term,9/5/2023,12/5/2023,['W'],9:45am,11:45am,20246,222670,Instructor,0/30,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/20/2023 9:00 AM,,,,,,,,,,,,,,,
Foundations of Modern Jazz,AAAS 142,['Ingrid Monson'],2024 Spring,Full Term,1/22/2024,4/24/2024,['T'],12:45pm,2:45pm,16792,222180,Instructor,,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
"Christianity, Identity and Civil Society in African",AAAS 160,['Jacob Olupona'],2024 Spring,Full Term,1/22/2024,4/24/2024,['T'],12:00pm,2:45pm,15431,220627,No Consent,,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
"Religion, Culture, and Society in Africa",AAAS 186,['Jacob Olupona'],2023 Fall,Full Term,9/5/2023,12/5/2023,['Th'],3:45pm,5:45pm,26905,222688,No Consent,,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/13/2023 9:00 AM,No Limit,,,,,,,,,,,,,,
The History of African Art,AAAS 192,['Suzanne Blier'],2023 Fall,Full Term,9/5/2023,12/5/2023,['M'],3:00pm,5:45pm,17339,222163,Instructor,0/30,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/19/2023 2:00 PM,,,,,,,,,,,,,,,
Questions of Theory,AAAS 205,"['Doris Sommer', 'Nicole Suetterlin']",2023 Fall,Full Term,9/5/2023,12/5/2023,['T'],12:00pm,2:45pm,27066,222659,Instructor,0/17,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/16/2023 2:00 PM,,,,,,,,,,,,,,,
Music and Social Justice,AAAS 209,['Ingrid Monson'],2024 Spring,Full Term,1/22/2024,4/24/2024,,,,16873,222211,No Consent,,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
New Directions in Black Power Studies,AAAS 212A,"['Brandon Terry', 'Jarvis Givens']",2023 Fall,Full Term,9/5/2023,12/5/2023,['Th'],12:00pm,2:45pm,20179,222505,Instructor,0/15,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,0,Seminar,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration, 12/13/2023 2:00 PM,,,,,,,,,,,,,,,
New Directions in Black Power Studies,AAAS 212B,"['Brandon Terry', 'Jarvis Givens']",2024 Spring,Full Term,1/22/2024,4/24/2024,['Th'],12:00pm,2:00pm,17146,222506,No Consent,,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,8,Seminar,FAS Letter Graded,Available for Harvard Cross Registration,,No Limit,,,,,,,,,,,,,,
"Afrodescendant Citizenship in Latin America: Mobilization, Contestation, and Change",AAAS 222A,"['Alejandro de la Fuente', 'Paulina Alberto']",2023 Fall,Full Term,9/5/2023,12/5/2023,['F'],12:00pm,2:45pm,16760,222097,Instructor,0/15,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/18/2023 9:00 AM,,,,,,,,,,,,,,,
