class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AAAS 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 212A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 212B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 222A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 222B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAS 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 10,26%,37%,37%,0%,0%,3.89,4.22,32%,58%,11%,0%,0%,4.21,4.22,21%,47%,32%,0%,0%,3.89,4.10,42%,32%,11%,11%,5%,3.95,4.11,68%,26%,5%,0%,0%,4.63,4.25,4.11
AFRAMER 11,69%,23%,8%,0%,0%,4.62,4.20,46%,46%,8%,0%,0%,4.38,4.18,54%,31%,15%,0%,0%,4.38,4.04,38%,38%,23%,0%,0%,4.15,4.07,50%,50%,0%,0%,0%,4.50,4.20,4.92
AFRAMER 20,80%,0%,0%,20%,0%,4.40,4.20,60%,20%,20%,0%,0%,4.40,4.18,60%,20%,20%,0%,0%,4.40,4.04,60%,20%,20%,0%,0%,4.40,4.07,100%,0%,0%,0%,0%,5.00,4.20,3.80
AFRAMER 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 97,88%,13%,0%,0%,0%,4.88,4.22,75%,13%,13%,0%,0%,4.63,4.22,88%,13%,0%,0%,0%,4.88,4.10,75%,0%,13%,13%,0%,4.38,4.11,80%,20%,0%,0%,0%,4.80,4.25,6.00
AFRAMER 98 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 98 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 98A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 98A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 99A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 99B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 111X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 112,72%,22%,6%,0%,0%,4.67,4.22,89%,11%,0%,0%,0%,4.89,4.22,56%,33%,11%,0%,0%,4.44,4.10,67%,17%,6%,11%,0%,4.39,4.11,100%,0%,0%,0%,0%,5.00,4.25,4.17
AFRAMER 113X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 115Y,80%,20%,0%,0%,0%,4.80,4.20,100%,0%,0%,0%,0%,5.00,4.18,75%,25%,0%,0%,0%,4.75,4.04,75%,25%,0%,0%,0%,4.75,4.07,100%,0%,0%,0%,0%,5.00,4.20,4.50
AFRAMER 115Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 119X,59%,27%,14%,0%,0%,4.45,4.22,36%,44%,18%,2%,0%,4.13,4.22,47%,35%,14%,5%,0%,4.23,4.10,47%,21%,23%,9%,0%,4.05,4.11,43%,24%,17%,7%,10%,3.83,4.25,2.98
AFRAMER 120X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 128X,71%,29%,0%,0%,0%,4.71,4.22,86%,14%,0%,0%,0%,4.86,4.22,71%,29%,0%,0%,0%,4.71,4.10,57%,29%,14%,0%,0%,4.43,4.11,67%,0%,33%,0%,0%,4.33,4.25,5.14
