uuid,class_name,class_tag,instructors,term,session,start_time,end_time,start_date,end_date,room,addr,days,class_number,course_id,consent,enrolled,description,joint_offerings,q_report,school,department,subject,location,units,course_component,grading_basis,cross_reg,exam/final_deadline,class_capacity,class_notes,course_notes,recommended_prep,course_requirements,waitlist
f01d95f43db944159a76f115acb2b352,Black Religion and Sexuality,AAAS 108,['Ahmad Greene-Hayes'],2023 Fall,Full Term,3:00pm,4:59pm,9/5/2023,12/5/2023,Rockefeller 116 (HDS),"https://www.google.com/maps?saddr=Current+Location&daddr=42.380598,-71.113158&dirflg=w",['W'],28111,223002,Instructor,1/30,"This course examines the co-constructed histories of religion, sexuality, and race in the Americas from the vantage of the African diaspora. Drawing upon foundational and newer works in the field, we will explore how the construction of these categories, largely rooted in biological essentialism, has had immense consequences for the enslaved and their descendants, indigenous peoples, other people of color, and women, queer, transgender, and gender-nonconforming individuals. This course also homes in on how those marginalized by these categories have challenged and subverted them using a hermeneutics of suspicion, political organizing, and other methods of resistance and feminist and queer theologizing.","['RELIGION 1087', 'HDS 3263']",https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+108,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/19/2023 2:00 PM,,,,,,
9b5b3919ff414d599c143a0148a322ff,"Religion, Theory, and the Archive",AAAS 109,['Ahmad Greene-Hayes'],2023 Fall,Full Term,12:00pm,1:59pm,9/5/2023,12/5/2023,Swartz 122 West James Room,"https://www.google.com/maps?saddr=Current+Location&daddr=42.379928,-71.112993&dirflg=w",['T'],28112,223003,Instructor,0/30,"Black and indigenous scholars have long argued that archives are often violent and dismembering, especially as the universities which house them preserve the physical and immaterial remnants of slavery and colonialism. Religious studies scholars, especially historians of religion, have attended to this quandary while sifting through archives of slavery, colonialism, conquest, and sexual violence. At Harvard, this conversation has re-emerged in unique ways through Harvard & the Legacy of Slavery: Reckoning with the Past to Understand the Present, and the question of what lies in university archives has taken center stage. This course examines these archival dilemmas and the violent hauntings of the past with an eye towards the historical study of religion in the Americas. We will read work by such scholars as Saidiya Hartman, Christina Sharpe, Robert Orsi, Solimar Otero, Toni Morrison, and more. ","['RELIGION 1092', 'HDS 3136']",https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+109,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/16/2023 2:00 PM,,,,,,
07dd81c911a4454aa4436e92165bdf0d,"Black Art and the Refounding of America: Art, Race, and U.S. Law",AAAS 112,"['Sarah Lewis', 'Marcus Mayo']",2023 Fall,Full Term,9:45am,11:45am,9/5/2023,12/5/2023,Sackler Building 427,"https://www.google.com/maps?saddr=Current+Location&daddr=42.375125,-71.114088&dirflg=w",['W'],20246,222670,Instructor,24/30,"It is hard to look anywhere and not see the force of black culture in media, entertainment, and the visual arts, now more heavily represented in the exhibitions and displays in museums around the country.
It is impossible to read the political landscape in American life and not engage with the work of black culture from film to sculptures, public installations to paintings.
This course focuses on the visual work of racial politics as a critical technology for contestation, redress, and rights-based advocacy in the United States. It addresses the founding of the United States through the works of contemporary artists from Gordon Parks to Isaac Julien, Mark Bradford, Hank Willis Thomas, and Amy Sherald.
The final portion of the class will give students an opportunity to present exhibitions proposals about artists who perform this critical work in American life or submit a 15-20 page research paper.
This course method represents a change in how we can study the arts and humanities today. It was once possible to produce scholarship on vision and visuality in the United States as if it was somehow sealed off from the discursive force of racial formation. It is not any longer. In the 1990s, a methodological shift occurred as scholars including but not limited to Martin Berger, Maurice Berger, Kirsten Pai Buick, Eddie Chambers, Hal Foster, Édouard Glissant, Kellie Jones, Nicholas Mirzoeff, W. J. T. Mitchell, Toni Morrison, Steven Nelson, Michele Wallace, and Deborah Willis began to focus on the polemics, process, and construction of vision, absence, and opacity in the history of racial formation and social power.
The dual aim of this course is to give students-undergraduate and graduate-of all backgrounds and concentrations an understanding of core topics in Black Art, and a critical understanding of the imbrication of visuality, race, and politics in the United States through a series of case studies.
ENROLLMENT
The course is open to all Harvard graduate students (in GSAS, GSD, Law school, and beyond), and to Harvard undergraduates through an application process. Please note that this class is well suited for undergraduates.
TO APPLY, please simply email sarahlewis@fas.harvard.edu<mailto:sarahlewis@fas.harvard.edu> with your reasons for taking the course, and include your concentration(s) and Harvard school by August 28th.
Enrollment is limited to 30 to accommodate the trips into Boston and out of state. If numbers exceed 30 there will be an application for enrollment. This seminar will include trips to the King Embrace Memorial in Boston and a trip to the Wadsworth Athenaeum in Hartford, Connecticut to see the show co-curated by Professor Lewis and Professor Henry Louis Gates, Jr., I am Seen ... There For I am; and an in-class visit from Hank Willis Thomas.",,https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+112,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/20/2023 9:00 AM,,,,,,
4b2931b31bfc446b86dfee5b1a221299,Tobacco and Sugar,AAAS 124,['Doris Sommer'],2023 Fall,Full Term,9:45am,11:45am,9/5/2023,12/5/2023,Boylston 335 (FAS),"https://www.google.com/maps?saddr=Current+Location&daddr=42.373328,-71.117304&dirflg=w",['W'],20207,108849,No Consent,,"Cuban Counterpoint Between Tobacco and Sugar (Fernando Ortiz 1940) will guide explorations of aesthetic and historical tensions throughout the Spanish Caribbean. Particular crops cultivated divergent political - cultural responses. Along with musical forms, plastic arts, and politics, we concentrate on literary works including abolitionist Cecilia Valdes, El reino de este mundo, the Dominican Over, Puerto Rico's La charca, Jamaica's Wide Sargasso Sea, writings by Hostos, Bono, Mintz, Klein, among others.",['SPANSH 186'],https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+124,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Lecture,FAS Letter Graded,Available for Harvard Cross Registration, 12/20/2023 9:00 AM,No Limit,,,,,
22f698ab329940e2a27aec19acc063e9,"Religion, Culture, and Society in Africa",AAAS 186,['Jacob Olupona'],2023 Fall,Full Term,3:45pm,5:45pm,9/5/2023,12/5/2023,Barker 114 (FAS),"https://www.google.com/maps?saddr=Current+Location&daddr=42.372608,-71.114535&dirflg=w",['Th'],26905,222688,No Consent,,"Exploring the meaning of religion  and its  impact of on African culture and society broadly, this course will highlight both religious traditions and innovations. Instead of treating each of the religions of Africa, the triple heritage in the words of Ali Mazrui of indigenous African religions, Islam, and Christianity, as distinct and bounded entities, we will explore the hybridity, interaction, and integration between categories throughout Africa. Using case studies, a unique perspective on religious diversity on the African continent and diaspora will emerge.",['HDS 3694'],https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+186,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/13/2023 9:00 AM,No Limit,,,,,
5c1251743c1947619911f2533fa951d4,The History of African Art,AAAS 192,['Suzanne Blier'],2023 Fall,Full Term,3:00pm,5:45pm,9/5/2023,12/5/2023,Sackler Building 427,"https://www.google.com/maps?saddr=Current+Location&daddr=42.375125,-71.114088&dirflg=w",['M'],17339,222163,Instructor,3/30,This course explores key art historical and architectural traditions in Africa from earliest man to the eighteenth century,['HAA 192M'],https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+192,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/19/2023 2:00 PM,,,,,,
6183528461de420ab2371f51431c5c81,Questions of Theory,AAAS 205,"['Doris Sommer', 'Nicole Suetterlin']",2023 Fall,Full Term,12:00pm,2:45pm,9/5/2023,12/5/2023,2 Arrow St 420,"https://www.google.com/maps?saddr=Current+Location&daddr=42.370815,-71.11455&dirflg=w",['T'],27066,222659,Instructor,1/17,"To explore key literary, cultural and critical theories, we pose questions through readings of classic and contemporary theorists, from Aristotle to Kant, Schiller, Arendt, Barthes, Foucault, Glissant, Ortiz, Kittler, and Butler, among others. Their approaches include aesthetics, (post)structuralism, (post)colonialism, media theory, gender theory, ecocriticism. Each seminar addresses a core reading and a cluster of variations. Weekly writing assignments will formulate a question that addresses the core texts to prepare for in-class discussions and interpretive activities.
 ",['GERMAN 291'],https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+205,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/16/2023 2:00 PM,,,,,,
c3cbf0b79a224cebbb7c0350b0f47aa8,New Directions in Black Power Studies,AAAS 212A,"['Brandon Terry', 'Jarvis Givens', 'Fatima Z. Amjad', 'Monnikue Marie Mccall', 'Annemari Korte']",2023 Fall,Full Term,12:00pm,2:45pm,9/5/2023,12/5/2023,TBA,"https://www.google.com/maps?saddr=Current+Location&daddr=0,0&dirflg=w",['Th'],20179,222505,Instructor,5/15,"The 2023-2024 Warren Center for American History workshop brings together an interdisciplinary group of historians, social scientists, humanists, and scholars of black political thought to explore what might be at stake — philosophically, theoretically, culturally, and politically — in revisiting the Black Power Movement in the present. Building on the successes of Black Power Studies scholars, this seminar seeks to resist unduly defensive and siloed forms of scholarly engagement, to openly and critically interrogate Black Power’s political and cultural dynamics, social formations, and conceptual contributions to political and social thought across such key concerns as political violence, education, the philosophy of race, cultural politics, gender, political economy, and more. Engaging the work-in-progress of visiting scholars, faculty, and other guests, the seminar will provide an extended opportunity to reflect upon the political and intellectual legacy of Black Power, the place of black radical traditions in academic scholarship, and how historians, theorists, and social scientists might work more collaboratively to pursue the hard questions the movement continues to raise.
To receive credit for this course students must enroll in part A and part B in the same academic year ",,https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+212,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,0,Seminar,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration, 12/13/2023 2:00 PM,,This course will meet in the Hutchins Center Room 2R,,,,
14352ee3a43641128eddc288713f4243,New Directions in Black Power Studies,AAAS 212B,"['Brandon Terry', 'Jarvis Givens']",2024 Spring,Full Term,12:00pm,2:00pm,1/22/2024,4/24/2024,Location:TBA3,"https://www.google.com/maps?saddr=Current+Location&daddr=0,0&dirflg=w",['Th'],17146,222506,No Consent,,"The 2023-2024 Warren Center for American History workshop brings together an interdisciplinary group of historians, social scientists, humanists, and scholars of black political thought to explore what might be at stake — philosophically, theoretically, culturally, and politically — in revisiting the Black Power Movement in the present. Building on the successes of Black Power Studies scholars, this seminar seeks to resist unduly defensive and siloed forms of scholarly engagement, to openly and critically interrogate Black Power’s political and cultural dynamics, social formations, and conceptual contributions to political and social thought across such key concerns as political violence, education, the philosophy of race, cultural politics, gender, political economy, and more. Engaging the work-in-progress of visiting scholars, faculty, and other guests, the seminar will provide an extended opportunity to reflect upon the political and intellectual legacy of Black Power, the place of black radical traditions in academic scholarship, and how historians, theorists, and social scientists might work more collaboratively to pursue the hard questions the movement continues to raise.
To receive credit for this course students must enroll in part A and part B in the same academic year.",['EDU A150B'],https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+212,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,8,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 5/07/2024 9:00 AM,No Limit,This course will meet in the Hutchins Center Room 2R,,,,
67410f919dc948eda08c7f3ae9c7c1bb,"Afrodescendant Citizenship in Latin America: Mobilization, Contestation, and Change",AAAS 222A,"['Alejandro de la Fuente', 'Paulina Alberto']",2023 Fall,Full Term,12:00pm,2:45pm,9/5/2023,12/5/2023,TBA,"https://www.google.com/maps?saddr=Current+Location&daddr=0,0&dirflg=w",['F'],16760,222097,Instructor,4/15,"This seminar studies contemporary struggles over citizenship and belonging by Afrodescendants in Latin America, situating these struggles within historical patterns of nation building, racial stratification, and political mobilization. Afrodescendants have been at the forefront of struggles typically associated with liberal values—equality, democracy, voting rights—since the colonial period. But Afrodescendant activists, thinkers, and artists have also articulated alternative visions of freedom and belonging that are frequently sidelined in the dominant narratives about rights and citizenship in Latin America. The seminar is conducted in conjunction with the Sawyer Seminar “Afrodescendant Citizenship in Latin America” funded by the Mellon Foundation. This will allow us to bring scholars, activists, artists and other practitioners involved in struggles for racial justice in Latin America to our class and our campus.
 ",['HIST 2220A'],https://qreports.fas.harvard.edu/home/courses?school=FAS&search=AAAS+222,Faculty of Arts & Sciences,African & African Amer Studies,African & African Amer Studies,Cambridge Campus,4,Seminar,FAS Letter Graded,Available for Harvard Cross Registration, 12/18/2023 9:00 AM,,"This course will meet at the Hutchins Center, Room 2R.",Undergraduate students who wish to take this class should get in touch with the instructors in advance. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit. Students need to register under History or AAAS but not both for credit.,,,
